                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.0302,                  2.076,                 1.4144,                 1.1002,                0.34561,                0.34819,                0.29995,                0.24836,                0.35609,                0.31098,                0.29153,                0.23119,                0.85042,                 1.8025,                 1.3463,                 1.0323,              0.0017087,              0.0017087,              0.0017087
                     70,                 1.0527,                 2.1295,                 1.4235,                 1.1041,                0.35546,                0.33751,                0.30523,                0.25272,                0.35853,                0.32392,                0.29495,                  0.233,                0.84978,                 1.8109,                 1.3478,                   1.03,               0.001585,               0.001585,               0.001585
                     71,                 1.1205,                 2.2747,                 1.4589,                 1.1278,                0.38848,                0.31287,                0.31289,                0.25748,                0.43862,                0.27925,                0.30333,                0.23968,                0.86237,                 1.8056,                 1.3503,                 1.0391,              0.0014612,              0.0014612,              0.0014612
                     72,                 1.1152,                 2.2578,                 1.4424,                 1.1241,                0.37603,                 0.3177,                0.29867,                0.24692,                 0.3702,                0.30916,                0.28998,                0.22789,                0.85385,                 1.8118,                 1.3614,                 1.0311,              0.0013375,              0.0013375,              0.0013375
                     73,                 1.0935,                 2.2208,                 1.4025,                 1.1117,                0.33418,                0.34002,                0.29886,                 0.2468,                  0.326,                0.33018,                0.29172,                 0.2307,                0.86157,                 1.8116,                 1.3596,                 1.0401,              0.0012138,              0.0012138,              0.0012138
                     74,                 1.0819,                    2.2,                 1.3929,                 1.1102,                0.33729,                0.33992,                0.29553,                 0.2454,                0.34227,                0.32482,                 0.2876,                0.22542,                0.84992,                 1.8131,                 1.3456,                 1.0324,                0.00109,                0.00109,                0.00109
                     75,                 1.0758,                 2.2139,                 1.3732,                  1.097,                0.33544,                0.34774,                0.31041,                0.25833,                0.36127,                 0.3288,                0.30304,                0.23999,                0.84688,                 1.7985,                 1.3453,                 1.0307,             0.00096625,             0.00096625,             0.00096625
                     76,                 1.0775,                 2.1983,                 1.3666,                 1.0993,                0.34507,                0.34103,                0.30694,                0.25417,                0.40957,                0.29848,                 0.3007,                0.23689,                0.84289,                 1.7917,                  1.344,                 1.0226,              0.0008425,              0.0008425,              0.0008425
                     77,                 1.0699,                 2.1999,                 1.3619,                 1.1009,                0.38924,                 0.3202,                0.31238,                 0.2621,                0.40012,                0.30799,                0.30732,                0.24078,                0.83908,                 1.8001,                 1.3387,                 1.0236,             0.00071875,             0.00071875,             0.00071875
                     78,                 1.0557,                 2.1595,                 1.3355,                 1.0912,                0.39235,                0.32605,                0.31404,                0.26321,                0.38796,                0.31857,                0.30711,                0.24306,                0.84168,                 1.7935,                  1.328,                 1.0235,               0.000595,               0.000595,               0.000595
                     79,                 1.0486,                 2.1692,                 1.3245,                 1.0837,                0.35786,                 0.3456,                0.31361,                0.25936,                0.34782,                0.33446,                0.30596,                0.24141,                0.83923,                 1.7978,                 1.3365,                 1.0249,             0.00047125,             0.00047125,             0.00047125
                     80,                  1.046,                 2.1671,                 1.3164,                 1.0873,                0.36664,                0.35014,                0.31882,                0.26286,                0.36374,                 0.3349,                0.31164,                0.24413,                0.83814,                 1.7908,                 1.3259,                 1.0247,              0.0003475,              0.0003475,              0.0003475
